day,number,陽性者数（累計）　,入院中等,中等・軽症,重症,死亡（累計）,"治癒確認（退院など）
（累計）"
 3/1,27,6092,153,145,8,182,5383
 3/2,16,6108,167,159,8,188,5389
 3/3,23,6131,164,156,8,192,5409
 3/4,8,6139,165,157,8,197,5417
 3/5,23,6162,173,165,8,197,5429
 3/6,23,6185,176,167,9,197,5435
 3/7,13,6198,196,188,8,197,5442
 3/8,12,6210,194,186,8,197,5455
 3/9,29,6239,212,201,11,197,5458
 3/10,21,6260,209,197,12,197,5481
 3/11,37,6297,234,220,14,197,5490
 3/12,27,6324,247,234,13,197,5506
 3/13,14,6338,262,250,12,197,5517
 3/14,14,6352,262,251,11,197,5531
 3/15,27,6379,271,255,16,197,5539
 3/16,25,6404,281,265,16,197,5550
 3/17,27,6431,302,284,18,202,5553
 3/18,20,6451,317,299,18,202,5561
 3/19,40,6491,336,319,17,202,5568
 3/20,22,6513,343,326,17,202,5588
 3/21,15,6528,349,332,17,202,5602
 3/22,21,6549,351,334,17,203,5608
 3/23,46,6595,351,334,17,209,5625
 3/24,33,6628,379,364,15,209,5643
 3/25,45,6673,385,371,14,209,5653
 3/26,77,6750,430,416,14,209,5673
 3/27,46,6796,454,439,15,210,5725
 3/28,43,6839,497,481,16,210,5725
 3/29,75,6914,508,492,16,210,5757
 3/30,78,6992,563,546,17,210,5774
 3/31,91,7083,636,619,17,213,5784
 4/1,85,7168,710,695,15,213,5790
 4/2,89,7257,775,760,15,213,5804
 4/3,83,7340,825,809,16,213,5834
 4/4,51,7391,868,852,16,213,5866
 4/5,113,7504,882,868,14,213,5902
 4/6,136,7640,972,956,16,213,5932
 4/7,130,7770,1078,1060,18,214,5951
 4/8,113,7883,1176,1159,17,214,5978
 4/9,122,8005,1252,1234,18,219,6001
 4/10,76,8081,1382,1364,18,219,6021
 4/11,64,8145,1313,1297,16,219,6136
 4/12,176,8321,1355,1340,15,219,6160
 4/13,201,8522,1508,1490,18,219,6194
 4/14,161,8683,1663,1644,19,223,6216
 4/15,218,8901,1756,1739,17,223,6266
 4/16,186,9087,1946,1928,18,223,6290
 4/17,167,9254,2119,2101,18,223,6312
 4/18,112,9366,2107,2088,19,223,6477
 4/19,174,9540,2190,2171,19,223,6533
 4/20,238,9778,2049,2030,19,229,6820
 4/21,192,9970,1853,1833,20,230,7246
 4/22,237,10207,1942,1922,20,231,7339
 4/23,250,10457,2142,2123,19,231,7357
 4/24,195,10652,2214,2195,19,231,7537
 4/25,122,10774,2244,2225,19,231,7681
 4/26,212,10986,2318,2299,19,231,7724
 4/27,239,11225,2314,2295,19,231,7925
 4/28,218,11443,2324,2305,19,231,8155
 4/29,134,11577,2413,2395,18,231,8278
 4/30,196,11773,2432,2416,16,231,8387
